%第一行 U,	第二行 V
0.7682156	0.023016036
0.8767442	0.544362941
1.2123116	0.191817458
3.4094091	0.269893229
1.0629694	0.060963057
0.4495693	0.258587989
0.8789534	0.213383191
0.6466784	0.246361981
0.3152598	0.032298814
0.5008881	0.460511098
0.2004936	0.083805511
0.4695486	0.033724185
0.9414701	0.611355174
0.9609428	0.212739896
0.5703689	0.481647299
0.2729225	0.007444189
0.2284058	0.037269079
0.516521	0.30190177
1.1285071	0.38434595
1.5779443	0.250787388
0.3060923	0.076658719
0.154763	0.082642153
1.0372218	0.289654864
1.0824315	0.275504735
0.4391443	0.027406975
0.832555	0.641599141
0.4211078	0.198745214
0.5457312	0.089137925
0.4095959	0.342815313
0.6876466	0.552725331
1.8342681	0.157281744
1.8431507	0.166005604
1.5730947	0.459506879
1.0111777	0.91792114
1.4417695	0.054773887
1.7207421	1.29168291
0.772964	0.007449168
0.5430361	0.172351713
1.5014328	0.576056529
0.7931465	0.472472999
0.1639931	0.087965402
1.7345422	0.123947932
0.6726345	0.224440129
1.5337026	0.236039018
1.2249964	0.361062142
1.1644411	0.34854171
0.2759018	0.098713649
0.3922483	0.072253529
0.8182332	0.143129037
0.5217467	0.20245789
0.3041502	0.02312165
0.4617526	0.245738628
0.9533329	0.247583876
0.4288281	0.142809611
0.6281591	0.209309052
1.5098535	0.401272594
0.4663509	0.067947541
0.381821	0.065459327
0.2164452	0.094537659
2.6915221	0.440251432
0.5134074	0.078068002
1.1619964	0.131559464
0.8098859	0.662843733
0.2663909	0.0439998
0.6694528	0.389094223
0.7999975	0.019175862
1.2796056	0.743716995
0.3805691	0.241598985
0.7487492	0.377444991
0.5725123	0.226446012
1.3150433	0.849269686
0.8890993	0.043064079
0.5768558	0.085297806
2.3609733	0.206583721
0.2651396	0.124645996
0.6349287	0.328186482
0.3952174	0.382968029
1.3888209	0.043762779
0.3636349	0.015218178
0.2622856	0.102436266
0.921949	0.216915462
1.3447413	0.178024934
0.1322548	0.067916227
0.2843492	0.047306737
0.4586097	0.167549874
1.0443719	0.145363694
0.9053494	0.025153883
0.5456009	0.104607167
0.4868005	0.125900413
1.5567396	0.433513805
0.2867196	0.19795077
0.4012349	0.086673502
0.2817074	0.260737634
1.1341219	0.817500233
0.1778313	0.026339796
1.2413968	0.548000305
0.5383914	0.007643109
0.895801	0.008910185
0.630616	0.288870729
1.2339286	0.065272461
0.6477155	0.126503593
1.5826029	0.19149592
0.9681029	0.336435708
0.8577685	0.841520812
0.3556593	0.057738472
0.9502492	0.453374106
0.4394279	0.122830718
0.4283648	0.099577098
0.9761053	0.094332976
1.5275634	0.560700916
1.6701111	0.138967687
1.8310315	0.331389574
0.8929407	0.301589701
0.8405658	0.324910367
1.3084993	0.803051456
0.2588829	0.0942592
0.3982386	0.346154991
0.6221411	0.06952998
0.7555538	0.11449715
0.5140279	0.103573423
0.7986297	0.741244833
0.3563759	0.287167931
0.3459358	0.116087956
0.2067403	0.12479066
0.8354288	0.402894253
0.3997856	0.217646006
0.8179919	0.01599181
2.0742768	0.718630915
0.4224147	0.004148087
0.8846952	0.163317287
2.2496465	0.436288478
0.2473147	0.071534054
0.1081427	0.067633382
0.253275	0.007727394
0.6915669	0.156982076
0.6949105	0.212463505
1.9446091	1.569515006
1.5673542	0.32520241
0.4462587	0.148967442
1.05247	0.713603459
1.0794276	1.002622512
1.3217418	1.166484435
1.2039275	0.046382861
0.4694464	0.349829469
0.2952845	0.276699566
0.2944404	0.209981402
0.5024002	0.019499448
0.7939399	0.399715693
2.1754436	0.153978861
2.1532765	0.004951019
0.3702307	0.222613799
1.1997198	0.712652012
1.1415578	0.03742407
1.6285014	0.021585186
0.2687222	0.085269183
1.0775554	0.58529801
0.1616438	0.04857888
0.2887636	0.281619394
1.2230453	0.339271958
0.6041952	0.177866707
0.2736454	0.051924549
0.9457381	0.372310094
1.0991905	0.90739442
0.9555024	0.054164321
1.0853032	0.022941967
0.7145869	0.703344709
0.7427432	0.015249488
0.907357	0.158978324
1.8406158	0.766631072
0.317281	0.123974161
0.3307454	0.190744265
0.4996288	0.004022869
0.7652322	0.030975939
0.8218031	0.269592336
2.1314949	1.199865436
1.3307533	0.256925984
0.5225332	0.007354557
0.5957053	0.095942704
0.5492141	0.110579351
1.2581765	0.562788198
0.9073487	0.513980804
0.9416936	0.138706565
0.6005831	0.592185605
1.7614774	0.5613556
1.1605526	0.30947997
0.5227228	0.334139779
1.0319136	0.440093315
0.2540136	0.232497732
1.0466153	0.203858334
0.2186373	0.038541587
0.118971	0.002805107
0.2477142	0.087263381
2.1806747	0.56944877
0.9560041	0.306957517
1.9264216	0.040532357
0.653845	0.200158857
1.2302756	0.578647577
1.4088275	0.474253147
1.0226671	0.035756343
1.1610188	0.171137351
0.7695599	0.039189931
0.2928545	0.240864826
0.7292731	0.185337714
0.5301565	0.436809872
0.9454698	0.286592535
0.9264737	0.902120741
